interval,variant,entry_mode,symbol,stock_return_pct,patterns,trades,wins,quality_wins,hit_rate_pct,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple
5m,breakout_base_2r,breakout,MU,89.0837,39,22,11,7,50.0,31.82,0.1291,2.841,0.0573
5m,breakout_base_2r,breakout,SNDK,59.2629,36,25,13,10,52.0,40.0,0.5289,13.223,0.2248
5m,breakout_base_2r,breakout,GLW,12.9484,38,25,11,5,44.0,20.0,-0.2865,-7.162,-0.1216
5m,breakout_base_2r,breakout,OKLO,-4.8419,31,22,12,7,54.55,31.82,0.0858,1.887,0.0568
5m,breakout_base_2r,breakout,RGTI,49.2694,33,22,13,8,59.09,36.36,0.4199,9.237,0.1395
5m,breakout_base_2r,breakout,IONQ,62.8475,33,24,14,11,58.33,45.83,0.771,18.503,0.2117
5m,breakout_base_2r,breakout,CSCO,30.4913,38,22,13,3,59.09,13.64,0.113,2.487,0.1191
5m,breakout_base_2r,breakout,AMKR,0.3172,35,24,11,3,45.83,12.5,-0.0463,-1.11,-0.0129
5m,breakout_base_2r,breakout,ASTS,55.0161,33,25,15,12,60.0,48.0,0.7626,19.066,0.234
5m,breakout_base_2r,breakout,RKLB,74.356,38,28,15,11,53.57,39.29,0.466,13.048,0.1479
5m,breakout_base_2r,breakout,AMD,45.4853,37,21,15,7,71.43,33.33,0.645,13.545,0.439
5m,breakout_base_2r,breakout,AVGO,6.9625,33,20,11,6,55.0,30.0,0.3642,7.284,0.262
5m,breakout_base_2r,breakout,ARM,68.8,41,23,15,8,65.22,34.78,0.6273,14.427,0.2922
5m,breakout_base_2r,breakout,SMCI,65.9467,28,20,15,7,75.0,35.0,0.8088,16.176,0.379
5m,breakout_base_2r,breakout,TSM,6.0014,34,23,14,3,60.87,13.04,0.1264,2.908,0.1235
5m,breakout_base_2r,breakout,ASML,13.5053,32,23,15,5,65.22,21.74,0.3878,8.919,0.3257
5m,breakout_base_2r,breakout,MRVL,26.6862,32,24,17,5,70.83,20.83,0.2751,6.602,0.1575
5m,breakout_base_2r,breakout,ON,20.5818,38,24,19,10,79.17,41.67,0.6924,16.617,0.3854
5m,breakout_base_2r,breakout,LRCX,26.0093,32,21,11,4,52.38,19.05,0.2272,4.771,0.1052
5m,breakout_base_2r,breakout,KLAC,12.5525,38,23,10,4,43.48,17.39,0.0158,0.364,0.0809
5m,breakout_base_2r,breakout,QCOM,43.784,30,24,14,6,58.33,25.0,0.3213,7.711,0.1512
5m,breakout_base_2r,breakout,ADI,4.4517,36,23,14,3,60.87,13.04,0.3208,7.378,0.2426
5m,breakout_base_2r,breakout,MCHP,2.4786,34,21,15,4,71.43,19.05,0.3722,7.816,0.2576
5m,breakout_base_2r,breakout,MPWR,1.4242,41,20,12,9,60.0,45.0,0.5063,10.127,0.326
5m,breakout_base_2r,breakout,LSCC,21.822,39,26,17,8,65.38,30.77,0.5998,15.595,0.2962
5m,breakout_base_2r,breakout,ALAB,72.3739,39,25,18,14,72.0,56.0,1.0799,26.998,0.478
5m,breakout_base_2r,breakout,CRDO,35.9261,34,22,17,13,77.27,59.09,1.4311,31.484,0.63
