interval,variant,entry_mode,symbols_tested,hold_minutes,reward_risk,low_tolerance_pct,min_rebound_pct,stop_buffer_pct,trades,wins,quality_wins,hit_rate_pct,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple,initial_equity,ending_equity,portfolio_return_pct,max_drawdown_pct,trades_available,trades_taken,trades_skipped_max_positions,trades_skipped_no_cash,quick_20pct_weighted_return_pct
5m,breakout_base_2r,breakout,80,200,2.0,0.012,0.0025,0.005,1887,1067,630,56.54,33.39,0.4487,846.688,0.1872,100000.0,110547.81,10.5478,-6.4126,1887.0,207.0,507.0,1173.0,169.3376
5m,breakout_wide_2r,breakout,80,240,2.0,0.02,0.004,0.0075,1788,1013,619,56.66,34.62,0.5005,894.909,0.1921,100000.0,114616.3,14.6163,-6.4327,1788.0,193.0,735.0,860.0,178.9818
5m,breakout_tight_2p5r,breakout,80,240,2.5,0.01,0.006,0.005,1536,863,532,56.18,34.64,0.4591,705.134,0.1759,100000.0,111839.79,11.8398,-5.5972,1536.0,178.0,481.0,877.0,141.0268
5m,breakout_wide_3r,breakout,80,300,3.0,0.02,0.006,0.01,1524,874,540,57.35,35.43,0.5781,881.014,0.1856,100000.0,106481.55,6.4815,-5.4785,1524.0,131.0,606.0,787.0,176.2028
5m,early_hl_base_2r,early-higher-low,80,100,2.0,0.012,0.006,0.0025,1310,608,285,46.41,21.76,0.0187,24.561,0.0187,100000.0,95846.33,-4.1537,-7.9857,1310.0,363.0,289.0,658.0,4.9122
5m,early_hl_wide_2r,early-higher-low,80,160,2.0,0.02,0.006,0.005,1282,631,342,49.22,26.68,0.1265,162.134,0.051,100000.0,113774.48,13.7745,-4.9664,1282.0,230.0,436.0,616.0,32.4268
5m,early_hl_tight_2p5r,early-higher-low,80,160,2.5,0.01,0.008,0.0025,1126,516,267,45.83,23.71,0.037,41.634,0.0372,100000.0,103461.36,3.4614,-6.1834,1126.0,263.0,221.0,642.0,8.3268
5m,early_hl_wide_3r,early-higher-low,80,240,3.0,0.02,0.01,0.005,1068,516,286,48.31,26.78,0.164,175.186,0.0723,100000.0,118286.42,18.2864,-4.956,1068.0,198.0,290.0,580.0,35.0372
15m,breakout_base_2r,breakout,80,200,2.0,0.012,0.0025,0.005,449,224,111,49.89,24.72,0.1479,66.417,0.0362,100000.0,101305.13,1.3051,-4.9421,449.0,105.0,69.0,275.0,13.2834
15m,breakout_wide_2r,breakout,80,240,2.0,0.02,0.004,0.0075,546,274,139,50.18,25.46,0.1648,90.003,0.0452,100000.0,102560.48,2.5605,-5.4724,546.0,96.0,117.0,333.0,18.0006
15m,breakout_tight_2p5r,breakout,80,240,2.5,0.01,0.006,0.005,381,192,102,50.39,26.77,0.1913,72.896,0.0489,100000.0,100163.38,0.1634,-6.1672,381.0,98.0,53.0,230.0,14.5792
15m,breakout_wide_3r,breakout,80,300,3.0,0.02,0.006,0.01,480,244,125,50.83,26.04,0.1668,80.056,0.04,100000.0,102685.11,2.6851,-4.6088,480.0,89.0,92.0,299.0,16.0112
15m,early_hl_base_2r,early-higher-low,80,100,2.0,0.012,0.006,0.0025,180,84,30,46.67,16.67,-0.0177,-3.183,-0.0191,100000.0,98522.19,-1.4778,-5.9536,180.0,117.0,26.0,37.0,-0.6366
15m,early_hl_wide_2r,early-higher-low,80,160,2.0,0.02,0.006,0.005,253,121,48,47.83,18.97,-0.0447,-11.298,-0.0269,100000.0,98889.18,-1.1108,-5.4838,253.0,108.0,52.0,93.0,-2.2596
15m,early_hl_tight_2p5r,early-higher-low,80,160,2.5,0.01,0.008,0.0025,149,67,25,44.97,16.78,-0.042,-6.251,-0.0221,100000.0,98552.95,-1.447,-5.4781,149.0,95.0,17.0,37.0,-1.2502
15m,early_hl_wide_3r,early-higher-low,80,240,3.0,0.02,0.01,0.005,221,103,42,46.61,19.0,-0.0862,-19.049,-0.0353,100000.0,97331.06,-2.6689,-6.9419,221.0,89.0,33.0,99.0,-3.8098
30m,breakout_base_2r,breakout,80,200,2.0,0.012,0.0025,0.005,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
30m,breakout_wide_2r,breakout,80,240,2.0,0.02,0.004,0.0075,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
30m,breakout_tight_2p5r,breakout,80,240,2.5,0.01,0.006,0.005,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
30m,breakout_wide_3r,breakout,80,300,3.0,0.02,0.006,0.01,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
30m,early_hl_base_2r,early-higher-low,80,100,2.0,0.012,0.006,0.0025,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
30m,early_hl_wide_2r,early-higher-low,80,160,2.0,0.02,0.006,0.005,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
30m,early_hl_tight_2p5r,early-higher-low,80,160,2.5,0.01,0.008,0.0025,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
30m,early_hl_wide_3r,early-higher-low,80,240,3.0,0.02,0.01,0.005,0,0,0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,,,,,,
