interval,variant,entry_mode,pattern_id,symbol,entry_date,entry_price,stop_price,target_price,target_return_pct,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win,quality_win,trend_30m_pct,trend_60m_pct,trend_120m_pct,above_ema20,ema20_rising,ema20_above_ema50,above_vwap,volume_ratio
5m,early_hl_wide_3r,early-higher-low,W004,MU,2026-05-08 13:05,733.0,708.78,805.66,9.9127,2026-05-08 15:55,747.07,session_close,34,14.07,0.0192,0.58,True,True,-0.7785103766538071,1.3049491460900065,2.775336591906319,True,True,True,True,0.8508626295563025
5m,early_hl_wide_3r,early-higher-low,W005,MU,2026-05-11 13:30,803.3,782.75,864.95,7.6746,2026-05-11 15:55,795.52,session_close,29,-7.78,-0.00969,-0.38,False,False,0.8409071897323317,1.6806334531332512,2.5973065407971063,True,True,True,True,0.21503186511992742
5m,early_hl_wide_3r,early-higher-low,W009,MU,2026-05-19 13:40,722.54,706.16,771.6799,6.801,2026-05-19 14:55,706.16,stop,15,-16.38,-0.02267,-1.0,False,False,0.39320781541027916,1.0205916338929866,4.229547932836852,True,True,True,True,0.5955066462448089
5m,early_hl_wide_3r,early-higher-low,W014,MU,2026-05-28 11:35,944.62,925.57,1001.77,6.0501,2026-05-28 14:45,925.57,stop,38,-19.05,-0.02017,-1.0,False,False,0.5128823935966809,1.837035912093543,1.8655898348282074,True,True,True,True,0.5145099672271026
5m,early_hl_wide_3r,early-higher-low,W015,MU,2026-05-29 10:40,962.5,941.93,1024.21,6.4114,2026-05-29 14:40,957.4,time_exit,48,-5.1,-0.0053,-0.25,False,False,-0.8894316762870891,1.0721434530645002,3.144677782519767,True,True,True,False,0.4852352167037355
5m,early_hl_wide_3r,early-higher-low,W001,SNDK,2026-05-04 15:35,1265.625,1232.29,1365.63,7.9016,2026-05-04 15:55,1256.02,session_close,4,-9.605,-0.00759,-0.29,False,False,0.6752053675678216,1.6381635289592245,2.5573934402103093,True,True,True,True,1.3052386283051935
5m,early_hl_wide_3r,early-higher-low,W004,SNDK,2026-05-08 11:00,1479.05,1434.72,1612.0402,8.9916,2026-05-08 15:00,1531.08,time_exit,48,52.0299,0.03518,1.17,True,True,0.6186444590360773,1.850079195213583,14.090906223599632,True,True,True,True,0.6069902669398891
5m,early_hl_wide_3r,early-higher-low,W008,SNDK,2026-05-15 11:05,1397.1401,1343.13,1559.1705,11.5973,2026-05-15 15:05,1407.5001,time_exit,48,10.36,0.00742,0.19,True,False,0.4031874581510442,3.0811624914665936,0.8725459589864037,True,True,False,True,0.43342794870778256
5m,early_hl_wide_3r,early-higher-low,W008,GLW,2026-05-15 10:45,198.93,193.34,215.7,8.4301,2026-05-15 14:45,195.66,time_exit,48,-3.27,-0.01644,-0.58,False,False,0.12582414662445363,1.210828709998868,-3.377936174619911,False,False,False,True,0.5412146902772514
5m,early_hl_wide_3r,early-higher-low,W003,OKLO,2026-05-05 14:55,67.65,66.18,72.06,6.5189,2026-05-05 15:55,68.38,session_close,12,0.73,0.01079,0.5,True,True,0.3856699160936339,1.332984090838707,1.4241460854112376,True,True,False,True,1.0431621836379312
