filter,trades,wins,quality_wins,quality_win_rate_pct,avg_return_pct,total_trade_return_pct,avg_r_multiple,initial_equity,ending_equity,portfolio_return_pct,max_drawdown_pct,trades_available,trades_taken,trades_skipped_max_positions,trades_skipped_no_cash,quick_20pct_weighted_return_pct
ema20_rising,743,360,215,28.9367,0.1914,142.235,0.0764,100000.0,122851.15,22.8512,-3.0845,743.0,171.0,191.0,381.0,28.447
prior_120m_positive,851,413,237,27.8496,0.1743,148.321,0.0746,100000.0,122063.73,22.0637,-3.7419,851.0,179.0,223.0,449.0,29.6642
all_trades,1035,503,277,26.7633,0.1694,175.362,0.0743,100000.0,119086.25,19.0863,-4.956,1035.0,193.0,273.0,569.0,35.0724
prior_60m_gt_1pct,328,161,104,31.7073,0.3462,113.562,0.1174,100000.0,119070.37,19.0704,-3.8225,328.0,121.0,59.0,148.0,22.7124
above_ema20,774,372,220,28.4238,0.1762,136.353,0.071,100000.0,118375.81,18.3758,-3.5812,774.0,175.0,149.0,450.0,27.2706
ema20_above_ema50,839,393,220,26.2217,0.1154,96.791,0.0483,100000.0,117911.04,17.911,-4.6261,839.0,182.0,239.0,418.0,19.3582
prior_60m_positive,678,342,202,29.7935,0.2668,180.887,0.1183,100000.0,117844.3,17.8443,-4.0156,678.0,176.0,147.0,355.0,36.1774
above_vwap,904,433,244,26.9912,0.1559,140.941,0.0558,100000.0,117703.62,17.7036,-4.2992,904.0,179.0,183.0,542.0,28.1882
prior_60m_positive_and_above_vwap,620,309,188,30.3226,0.2625,162.756,0.1038,100000.0,117292.74,17.2927,-3.7927,620.0,170.0,117.0,333.0,32.5512
above_ema20_and_vwap,723,341,207,28.6307,0.1579,114.181,0.0565,100000.0,116777.83,16.7778,-3.5774,723.0,170.0,147.0,406.0,22.8362
prior_60m_positive_and_above_ema20,624,311,185,29.6474,0.2472,154.247,0.1015,100000.0,115822.62,15.8226,-3.9697,624.0,167.0,124.0,333.0,30.8494
trend_ema_vwap,581,286,177,30.4647,0.2479,144.008,0.0969,100000.0,115403.71,15.4037,-3.7603,581.0,164.0,122.0,295.0,28.8016
strong_trend_ema,309,149,97,31.3916,0.3104,95.923,0.0997,100000.0,115232.31,15.2323,-3.3252,309.0,117.0,37.0,155.0,19.1846
prior_120m_gt_2pct,403,188,138,34.2432,0.2736,110.247,0.1095,100000.0,115002.96,15.003,-3.9864,403.0,126.0,68.0,209.0,22.0494
clean_uptrend_stack,603,273,167,27.6949,0.1043,62.865,0.0304,100000.0,114399.32,14.3993,-4.1241,603.0,156.0,135.0,312.0,12.573
prior_30m_positive,380,184,108,28.4211,0.1779,67.619,0.0718,100000.0,110423.54,10.4235,-4.5912,380.0,149.0,35.0,196.0,13.5238
volume_ratio_gt_1,235,124,54,22.9787,0.198,46.519,0.0649,100000.0,103752.84,3.7528,-3.716,235.0,114.0,11.0,110.0,9.3038
