symbol,pattern_id,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win
MU,W001,2026-05-01 12:50,533.87,526.57,548.47,2026-05-01 15:55,542.32,session_close,37,8.45,0.01583,1.16,True
MU,W002,2026-05-04 13:05,581.39,572.79,598.59,2026-05-04 14:15,572.79,stop,14,-8.6,-0.01479,-1.0,False
MU,W003,2026-05-05 11:50,642.8099,629.71,669.0096,2026-05-05 12:35,629.71,stop,9,-13.0999,-0.02038,-1.0,False
MU,W005,2026-05-05 15:00,644.8,633.89,666.62,2026-05-05 15:55,640.49,session_close,11,-4.31,-0.00668,-0.4,False
MU,W006,2026-05-06 13:45,656.98,646.25,678.4399,2026-05-06 15:55,666.9,session_close,26,9.92,0.0151,0.92,True
MU,W008,2026-05-07 14:00,647.11,633.88,673.57,2026-05-07 15:55,646.6754,session_close,23,-0.4346,-0.00067,-0.03,False
MU,W009,2026-05-08 11:00,715.47,699.29,747.8299,2026-05-08 14:20,735.6399,time_exit,40,20.1699,0.02819,1.25,True
MU,W013,2026-05-11 10:40,789.31,764.84,838.25,2026-05-11 14:00,799.99,time_exit,40,10.68,0.01353,0.44,True
MU,W015,2026-05-11 14:30,809.1,791.57,844.1599,2026-05-11 15:35,791.57,stop,13,-17.53,-0.02167,-1.0,False
MU,W016,2026-05-12 13:55,739.06,723.11,770.96,2026-05-12 15:55,765.765,session_close,24,26.705,0.03613,1.67,True
MU,W018,2026-05-13 10:35,809.69,775.57,877.93,2026-05-13 13:55,794.9999,time_exit,40,-14.6901,-0.01814,-0.43,False
MU,W020,2026-05-13 15:05,804.15,793.26,825.9301,2026-05-13 15:55,803.38,session_close,10,-0.77,-0.00096,-0.07,False
MU,W021,2026-05-14 12:55,795.2,784.06,817.48,2026-05-14 13:15,784.06,stop,4,-11.14,-0.01401,-1.0,False
MU,W022,2026-05-14 15:15,792.05,777.31,821.53,2026-05-14 15:55,777.31,stop,8,-14.74,-0.01861,-1.0,False
MU,W023,2026-05-15 13:10,738.1,729.63,755.0399,2026-05-15 15:45,729.63,stop,31,-8.47,-0.01148,-1.0,False
MU,W026,2026-05-20 11:40,722.83,705.82,756.8501,2026-05-20 15:00,728.74,time_exit,40,5.91,0.00818,0.35,True
MU,W028,2026-05-21 12:35,754.4976,737.09,789.3129,2026-05-21 15:55,761.92,time_exit,40,7.4224,0.00984,0.43,True
MU,W030,2026-05-22 10:45,766.4799,743.95,811.5398,2026-05-22 14:05,775.0,time_exit,40,8.5201,0.01112,0.38,True
MU,W032,2026-05-26 13:00,884.3369,872.94,907.1307,2026-05-26 14:25,907.1307,target,17,22.7938,0.02578,2.0,True
MU,W034,2026-05-27 11:35,907.065,883.71,953.775,2026-05-27 14:55,916.0151,time_exit,40,8.9501,0.00987,0.38,True
MU,W036,2026-05-28 10:45,938.805,900.26,1015.895,2026-05-28 14:05,940.09,time_exit,40,1.285,0.00137,0.03,True
MU,W038,2026-05-29 11:15,971.79,949.23,1016.9099,2026-05-29 14:35,953.1881,time_exit,40,-18.6019,-0.01914,-0.82,False
SNDK,W001,2026-05-01 14:00,1111.42,1088.67,1156.9201,2026-05-01 15:25,1156.9201,target,17,45.5001,0.04094,2.0,True
SNDK,W003,2026-05-04 13:05,1246.13,1224.85,1288.69,2026-05-04 14:05,1224.85,stop,12,-21.28,-0.01708,-1.0,False
SNDK,W004,2026-05-05 11:50,1382.9399,1354.8,1439.2198,2026-05-05 15:10,1403.64,time_exit,40,20.7001,0.01497,0.74,True
SNDK,W005,2026-05-06 13:40,1392.49,1360.26,1456.95,2026-05-06 15:55,1409.98,session_close,27,17.49,0.01256,0.54,True
SNDK,W006,2026-05-07 10:20,1379.3199,1320.6,1496.7598,2026-05-07 12:05,1320.6,stop,21,-58.7199,-0.04257,-1.0,False
SNDK,W007,2026-05-07 12:55,1335.03,1301.65,1401.7901,2026-05-07 14:25,1301.65,stop,18,-33.38,-0.025,-1.0,False
SNDK,W008,2026-05-07 15:40,1317.7,1288.53,1376.0399,2026-05-07 15:55,1339.99,session_close,3,22.29,0.01692,0.76,True
SNDK,W009,2026-05-08 11:55,1507.76,1465.64,1592.0,2026-05-08 15:15,1542.48,time_exit,40,34.72,0.02303,0.82,True
SNDK,W011,2026-05-08 15:40,1549.26,1513.59,1620.6,2026-05-08 15:55,1562.34,session_close,3,13.08,0.00844,0.37,True
SNDK,W012,2026-05-11 11:50,1557.9449,1526.92,1619.9948,2026-05-11 15:10,1571.71,time_exit,40,13.765,0.00884,0.44,True
SNDK,W014,2026-05-12 13:35,1410.7375,1389.03,1454.1526,2026-05-12 15:40,1454.1526,target,25,43.4151,0.03077,2.0,True
SNDK,W015,2026-05-13 12:30,1440.5,1408.72,1504.06,2026-05-13 15:50,1439.395,time_exit,40,-1.105,-0.00077,-0.03,False
SNDK,W017,2026-05-14 12:30,1405.01,1375.38,1464.27,2026-05-14 15:50,1384.5699,time_exit,40,-20.4401,-0.01455,-0.69,False
SNDK,W019,2026-05-15 13:40,1411.999,1383.05,1469.8971,2026-05-15 15:55,1406.99,session_close,27,-5.009,-0.00355,-0.17,False
SNDK,W021,2026-05-18 15:05,1301.155,1270.94,1361.5851,2026-05-18 15:55,1332.02,session_close,10,30.865,0.02372,1.02,True
SNDK,W022,2026-05-19 11:50,1328.7399,1289.86,1406.4996,2026-05-19 15:10,1381.38,time_exit,40,52.6401,0.03962,1.35,True
SNDK,W024,2026-05-20 14:00,1403.17,1374.15,1461.2101,2026-05-20 15:55,1392.6801,session_close,23,-10.49,-0.00748,-0.36,False
SNDK,W025,2026-05-21 11:50,1488.42,1451.93,1561.4001,2026-05-21 15:10,1542.9,time_exit,40,54.48,0.0366,1.49,True
SNDK,W027,2026-05-21 15:15,1543.3199,1508.76,1612.4398,2026-05-21 15:55,1542.64,session_close,8,-0.6799,-0.00044,-0.02,False
SNDK,W028,2026-05-22 13:05,1516.9449,1500.01,1550.8148,2026-05-22 15:05,1500.01,stop,24,-16.9349,-0.01116,-1.0,False
SNDK,W029,2026-05-26 12:25,1596.0,1552.21,1683.58,2026-05-26 15:45,1600.16,time_exit,40,4.16,0.00261,0.09,True
SNDK,W031,2026-05-27 12:00,1548.9351,1520.72,1605.3652,2026-05-27 15:20,1588.385,time_exit,40,39.45,0.02547,1.4,True
SNDK,W032,2026-05-27 15:40,1591.97,1568.12,1639.6699,2026-05-27 15:55,1588.9,session_close,3,-3.0699,-0.00193,-0.13,False
