pattern_id,company,entry_mode,symbol,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win
W001,Apple,breakout,AAPL,2026-05-01 11:20,284.01,280.05,291.93,2026-05-01 14:40,280.7695,time_exit,40,-3.2405,-0.01141,-0.82,False
W002,Apple,breakout,AAPL,2026-05-04 13:25,277.27,274.07,283.67,2026-05-04 15:55,276.84,session_close,30,-0.43,-0.00155,-0.13,False
W003,Apple,breakout,AAPL,2026-05-05 13:20,283.96,278.45,294.98,2026-05-05 15:55,284.17,session_close,31,0.21,0.00074,0.04,True
W005,Apple,breakout,AAPL,2026-05-06 12:30,286.255,282.46,293.845,2026-05-06 15:50,287.81,time_exit,40,1.555,0.00543,0.41,True
W007,Apple,breakout,AAPL,2026-05-11 11:20,293.325,290.29,299.395,2026-05-11 14:40,291.72,time_exit,40,-1.605,-0.00547,-0.53,False
W008,Apple,breakout,AAPL,2026-05-11 15:30,292.1459,289.41,297.6177,2026-05-11 15:55,292.74,session_close,5,0.5941,0.00203,0.22,True
W009,Apple,breakout,AAPL,2026-05-12 12:05,294.665,291.78,300.435,2026-05-12 15:25,294.8007,time_exit,40,0.1357,0.00046,0.05,True
W010,Apple,breakout,AAPL,2026-05-13 10:45,296.355,293.64,301.785,2026-05-13 14:05,299.9497,time_exit,40,3.5947,0.01213,1.32,True
W012,Apple,breakout,AAPL,2026-05-14 11:15,299.03,295.59,305.91,2026-05-14 12:50,295.59,stop,19,-3.44,-0.0115,-1.0,False
W013,Apple,breakout,AAPL,2026-05-14 14:55,298.7,295.87,304.36,2026-05-14 15:55,298.165,session_close,12,-0.535,-0.00179,-0.19,False
W014,Apple,breakout,AAPL,2026-05-15 10:15,299.0751,295.18,306.8653,2026-05-15 13:35,302.625,time_exit,40,3.5499,0.01187,0.91,True
W016,Apple,breakout,AAPL,2026-05-18 15:05,297.05,293.85,303.45,2026-05-18 15:55,297.9,session_close,10,0.85,0.00286,0.27,True
W017,Apple,breakout,AAPL,2026-05-19 12:50,298.4,294.88,305.44,2026-05-19 15:55,298.98,session_close,37,0.58,0.00194,0.16,True
W018,Apple,breakout,AAPL,2026-05-20 10:55,300.43,297.59,306.11,2026-05-20 14:15,301.37,time_exit,40,0.94,0.00313,0.33,True
W021,Apple,breakout,AAPL,2026-05-21 11:15,302.8951,300.07,308.5453,2026-05-21 14:35,304.4,time_exit,40,1.5049,0.00497,0.53,True
W023,Apple,breakout,AAPL,2026-05-22 10:45,309.77,305.53,318.25,2026-05-22 14:05,309.335,time_exit,40,-0.435,-0.0014,-0.1,False
W024,Apple,breakout,AAPL,2026-05-28 14:35,311.27,308.02,317.77,2026-05-28 15:55,312.5,session_close,16,1.23,0.00395,0.38,True
W001,Microsoft,breakout,MSFT,2026-05-01 11:15,414.6121,408.48,426.8763,2026-05-01 14:35,415.13,time_exit,40,0.5179,0.00125,0.08,True
W003,Microsoft,breakout,MSFT,2026-05-01 15:40,416.82,411.84,426.78,2026-05-01 15:55,414.51,session_close,3,-2.31,-0.00554,-0.46,False
W004,Microsoft,breakout,MSFT,2026-05-04 12:20,416.0,410.95,426.1,2026-05-04 15:40,412.64,time_exit,40,-3.36,-0.00808,-0.67,False
W005,Microsoft,breakout,MSFT,2026-05-05 13:45,410.76,406.96,418.36,2026-05-05 15:55,411.27,session_close,26,0.51,0.00124,0.13,True
W006,Microsoft,breakout,MSFT,2026-05-06 14:20,413.78,410.2,420.94,2026-05-06 15:55,413.76,session_close,19,-0.02,-5e-05,-0.01,False
W007,Microsoft,breakout,MSFT,2026-05-07 10:55,424.94,420.49,433.84,2026-05-07 14:15,422.455,time_exit,40,-2.485,-0.00585,-0.56,False
W008,Microsoft,breakout,MSFT,2026-05-07 14:20,422.455,418.4,430.565,2026-05-07 15:55,420.99,session_close,19,-1.465,-0.00347,-0.36,False
W009,Microsoft,breakout,MSFT,2026-05-08 13:20,417.15,413.27,424.91,2026-05-08 15:55,415.15,session_close,31,-2.0,-0.00479,-0.52,False
W010,Microsoft,breakout,MSFT,2026-05-11 11:30,411.83,406.94,421.61,2026-05-11 14:50,410.48,time_exit,40,-1.35,-0.00328,-0.28,False
W011,Microsoft,breakout,MSFT,2026-05-11 15:30,411.55,406.54,421.57,2026-05-11 15:55,412.68,session_close,5,1.13,0.00275,0.23,True
W012,Microsoft,breakout,MSFT,2026-05-12 12:15,409.31,404.62,418.69,2026-05-12 15:35,408.225,time_exit,40,-1.085,-0.00265,-0.23,False
W013,Microsoft,breakout,MSFT,2026-05-13 11:40,404.56,400.04,413.6,2026-05-13 15:00,405.1,time_exit,40,0.54,0.00133,0.12,True
W014,Microsoft,breakout,MSFT,2026-05-14 13:30,409.05,405.21,416.73,2026-05-14 15:55,409.47,session_close,29,0.42,0.00103,0.11,True
W015,Microsoft,breakout,MSFT,2026-05-15 13:35,427.595,420.64,441.505,2026-05-15 15:55,420.64,stop,28,-6.955,-0.01627,-1.0,False
W016,Microsoft,breakout,MSFT,2026-05-18 13:30,422.935,415.61,437.585,2026-05-18 15:55,423.66,session_close,29,0.725,0.00171,0.1,True
W017,Microsoft,breakout,MSFT,2026-05-20 10:55,415.775,409.55,428.225,2026-05-20 14:15,420.055,time_exit,40,4.28,0.01029,0.69,True
W022,Microsoft,breakout,MSFT,2026-05-21 13:40,418.12,413.94,426.48,2026-05-21 15:55,419.04,session_close,27,0.92,0.0022,0.22,True
W023,Microsoft,breakout,MSFT,2026-05-22 11:10,418.81,414.26,427.91,2026-05-22 14:30,419.22,time_exit,40,0.41,0.00098,0.09,True
W025,Microsoft,breakout,MSFT,2026-05-22 14:40,419.57,415.16,428.39,2026-05-22 15:55,418.58,session_close,15,-0.99,-0.00236,-0.22,False
W027,Microsoft,breakout,MSFT,2026-05-27 15:20,413.16,409.15,421.18,2026-05-27 15:55,412.69,session_close,7,-0.47,-0.00114,-0.12,False
W028,Microsoft,breakout,MSFT,2026-05-28 12:25,425.75,421.39,434.47,2026-05-28 15:45,426.03,time_exit,40,0.28,0.00066,0.06,True
W029,Microsoft,breakout,MSFT,2026-05-29 12:35,443.92,439.91,451.94,2026-05-29 15:55,448.64,time_exit,40,4.72,0.01063,1.18,True
