pattern_id,company,entry_mode,symbol,entry_date,entry_price,stop_price,target_price,exit_date,exit_price,exit_reason,bars_held,pnl_per_share,return_pct,r_multiple,win
W001,Apple,early-higher-low,AAPL,2026-05-05 11:05,280.37,278.12,284.87,2026-05-05 12:45,282.57,time_exit,20,2.2,0.00785,0.98,True
W002,Apple,early-higher-low,AAPL,2026-05-05 13:55,282.84,281.0,286.52,2026-05-05 15:35,284.29,time_exit,20,1.45,0.00513,0.79,True
W003,Apple,early-higher-low,AAPL,2026-05-11 12:20,292.28,289.5,297.84,2026-05-11 14:00,292.89,time_exit,20,0.61,0.00209,0.22,True
W004,Apple,early-higher-low,AAPL,2026-05-13 15:40,299.34,295.98,306.06,2026-05-13 15:55,298.88,session_close,3,-0.46,-0.00154,-0.14,False
W005,Apple,early-higher-low,AAPL,2026-05-15 12:10,301.19,296.79,309.99,2026-05-15 13:50,302.5,time_exit,20,1.31,0.00435,0.3,True
W006,Apple,early-higher-low,AAPL,2026-05-22 13:05,309.22,306.3,315.06,2026-05-22 14:45,309.31,time_exit,20,0.09,0.00029,0.03,True
W007,Apple,early-higher-low,AAPL,2026-05-27 12:40,311.35,310.03,313.99,2026-05-27 14:20,310.8,time_exit,20,-0.55,-0.00177,-0.42,False
W001,Microsoft,early-higher-low,MSFT,2026-05-01 12:35,413.97,409.41,423.09,2026-05-01 14:15,415.62,time_exit,20,1.65,0.00399,0.36,True
W002,Microsoft,early-higher-low,MSFT,2026-05-04 10:55,418.54,413.76,428.1,2026-05-04 11:40,413.76,stop,9,-4.78,-0.01142,-1.0,False
W003,Microsoft,early-higher-low,MSFT,2026-05-11 11:05,409.25,406.95,413.85,2026-05-11 12:45,410.2,time_exit,20,0.95,0.00232,0.41,True
W004,Microsoft,early-higher-low,MSFT,2026-05-13 13:50,404.38,401.83,409.48,2026-05-13 15:30,404.59,time_exit,20,0.21,0.00052,0.08,True
W005,Microsoft,early-higher-low,MSFT,2026-05-14 12:05,409.03,405.88,415.33,2026-05-14 13:45,409.19,time_exit,20,0.16,0.00039,0.05,True
W006,Microsoft,early-higher-low,MSFT,2026-05-15 12:55,423.94,421.69,428.44,2026-05-15 14:35,426.1075,time_exit,20,2.1675,0.00511,0.96,True
W007,Microsoft,early-higher-low,MSFT,2026-05-18 15:10,422.98,416.66,435.62,2026-05-18 15:55,423.66,session_close,9,0.68,0.00161,0.11,True
W008,Microsoft,early-higher-low,MSFT,2026-05-21 14:35,418.99,414.98,427.01,2026-05-21 15:55,419.04,session_close,16,0.05,0.00012,0.01,True
