entry_mode,swing_window,low_tolerance_pct,max_second_low_undercut_pct,min_rebound_pct,breakout_lookahead,breakout_buffer_pct,require_volume_confirmation,volume_multiplier,max_first_low_to_neckline_bars,max_neckline_to_second_low_bars,stop_buffer_pct,reward_risk,max_hold_bars,closed_trades,wins,hit_rate_pct,avg_return_pct,total_return_pct,avg_r_multiple
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,2.0,12,142,64,45.07,0.018,2.62,0.015
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,2.5,12,142,64,45.07,0.018,2.491,0.015
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,3.0,12,142,64,45.07,0.018,2.491,0.015
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.005,2.0,12,141,63,44.68,0.029,4.152,0.021
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.005,2.5,12,141,63,44.68,0.025,3.52,0.019
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.005,3.0,12,141,63,44.68,0.025,3.52,0.019
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.0025,2.0,12,140,65,46.43,0.034,4.733,0.034
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.0025,2.5,12,140,65,46.43,0.033,4.604,0.033
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.0025,3.0,12,140,65,46.43,0.033,4.604,0.033
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.005,2.0,12,139,64,46.04,0.045,6.265,0.035
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.005,2.5,12,139,64,46.04,0.041,5.633,0.032
breakout,2,0.006,0.006,0.0025,12,0.0,False,1.05,24,24,0.005,3.0,12,139,64,46.04,0.041,5.633,0.032
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,2.5,20,132,64,48.48,0.003,0.35,-0.009
breakout,2,0.012,0.008,0.0025,12,0.0,False,1.05,24,24,0.0025,2.0,20,132,64,48.48,-0.005,-0.714,-0.016
