mode,k_bars,minutes_after_entry,trades,wins,win_rate_pct,avg_r_multiple,median_r_multiple,total_r_multiple,avg_return_pct,target_exits,stop_exits,time_exits
pure_time,1,5,199,100,50.25,0.0011,0.0044,0.227,-0.0013,0,0,199
pure_time,2,10,199,96,48.24,-0.0014,-0.0018,-0.284,-0.0088,0,0,199
pure_time,3,15,199,101,50.75,0.0066,0.0058,1.3215,0.0007,0,0,199
pure_time,4,20,196,99,50.51,0.0039,0.0017,0.7635,0.0011,0,0,196
pure_time,5,25,190,91,47.89,0.0108,-0.011,2.0554,0.0141,0,0,190
pure_time,6,30,185,86,46.49,0.0029,-0.0192,0.5358,0.0043,0,0,185
pure_time,7,35,177,83,46.89,-0.0008,-0.0332,-0.1402,-0.0002,0,0,177
pure_time,8,40,175,85,48.57,-0.0079,-0.003,-1.3804,-0.0105,0,0,175
pure_time,9,45,173,87,50.29,-0.0073,0.0058,-1.2627,-0.0061,0,0,173
pure_time,10,50,168,83,49.4,-0.0046,-0.0034,-0.7655,-0.0014,0,0,168
pure_time,11,55,163,76,46.63,0.0003,-0.0351,0.0456,0.0081,0,0,163
pure_time,12,60,159,83,52.2,0.0265,0.0122,4.2197,0.0443,0,0,159
pure_time,13,65,155,73,47.1,0.0191,-0.0146,2.9599,0.0376,0,0,155
pure_time,14,70,154,67,43.51,0.0006,-0.0284,0.0886,0.015,0,0,154
pure_time,15,75,151,70,46.36,0.0028,-0.0473,0.4293,0.0185,0,0,151
pure_time,16,80,149,74,49.66,0.0166,-0.0068,2.4674,0.037,0,0,149
pure_time,17,85,146,66,45.21,0.0107,-0.0183,1.555,0.0305,0,0,146
pure_time,18,90,143,69,48.25,0.0144,-0.0199,2.0551,0.0291,0,0,143
pure_time,19,95,139,67,48.2,0.0278,-0.0059,3.8575,0.0452,0,0,139
pure_time,20,100,133,62,46.62,0.0309,-0.0346,4.1135,0.0487,0,0,133
pure_time,21,105,129,58,44.96,0.0274,-0.052,3.5316,0.0433,0,0,129
pure_time,22,110,127,61,48.03,0.0294,-0.0199,3.7362,0.0429,0,0,127
pure_time,23,115,119,51,42.86,0.0111,-0.042,1.3245,0.0079,0,0,119
pure_time,24,120,116,50,43.1,0.0183,-0.0584,2.125,0.0136,0,0,116
pure_time,25,125,115,53,46.09,0.0188,-0.0362,2.1644,0.0158,0,0,115
pure_time,26,130,110,50,45.45,0.0164,-0.051,1.8085,0.0182,0,0,110
pure_time,27,135,106,52,49.06,0.0228,-0.0044,2.4147,0.037,0,0,106
pure_time,28,140,102,47,46.08,0.0132,-0.0257,1.342,0.0243,0,0,102
pure_time,29,145,99,48,48.48,0.0228,-0.0398,2.2585,0.0398,0,0,99
pure_time,30,150,96,43,44.79,0.0106,-0.053,1.0178,0.0265,0,0,96
pure_time,31,155,91,44,48.35,0.0623,-0.0051,5.6681,0.0944,0,0,91
pure_time,32,160,87,43,49.43,0.0727,-0.0341,6.3284,0.1027,0,0,87
pure_time,33,165,87,42,48.28,0.0587,-0.0409,5.108,0.0915,0,0,87
pure_time,34,170,82,39,47.56,0.1056,-0.0249,8.6558,0.147,0,0,82
pure_time,35,175,81,40,49.38,0.1026,-0.0123,8.3098,0.144,0,0,81
pure_time,36,180,81,41,50.62,0.1236,0.0288,10.0117,0.1707,0,0,81
pure_time,37,185,80,43,53.75,0.134,0.0751,10.7161,0.1831,0,0,80
pure_time,38,190,79,44,55.7,0.1379,0.0918,10.8914,0.1881,0,0,79
pure_time,39,195,77,43,55.84,0.1401,0.1046,10.7912,0.1896,0,0,77
pure_time,40,200,77,43,55.84,0.1466,0.0845,11.2898,0.2024,0,0,77
pure_time,41,205,74,43,58.11,0.1424,0.0741,10.5361,0.2051,0,0,74
pure_time,42,210,72,38,52.78,0.1086,0.0247,7.8215,0.1595,0,0,72
pure_time,43,215,69,37,53.62,0.1479,0.0706,10.2052,0.2081,0,0,69
pure_time,44,220,64,37,57.81,0.1438,0.045,9.2036,0.2076,0,0,64
pure_time,45,225,62,37,59.68,0.1325,0.0617,8.2135,0.1844,0,0,62
pure_time,46,230,61,34,55.74,0.1398,0.0711,8.5285,0.1993,0,0,61
pure_time,47,235,56,33,58.93,0.1643,0.1441,9.2016,0.2281,0,0,56
pure_time,48,240,55,34,61.82,0.16,0.1186,8.799,0.2129,0,0,55
pure_time,49,245,53,31,58.49,0.164,0.0466,8.69,0.2088,0,0,53
pure_time,50,250,49,27,55.1,0.1503,0.0506,7.3648,0.1908,0,0,49
pure_time,51,255,47,26,55.32,0.1596,0.0348,7.5014,0.1967,0,0,47
pure_time,52,260,45,26,57.78,0.1603,0.0718,7.2115,0.2059,0,0,45
pure_time,53,265,43,24,55.81,0.1351,0.0537,5.8114,0.1767,0,0,43
pure_time,54,270,40,21,52.5,0.1366,0.0791,5.4651,0.1798,0,0,40
pure_time,55,275,38,19,50.0,0.0857,0.0155,3.2548,0.0861,0,0,38
pure_time,56,280,33,17,51.52,0.0961,0.01,3.1708,0.116,0,0,33
pure_time,57,285,29,15,51.72,0.141,0.0475,4.088,0.2066,0,0,29
pure_time,58,290,25,15,60.0,0.2225,0.1527,5.5615,0.3147,0,0,25
pure_time,59,295,21,12,57.14,0.1343,0.057,2.8201,0.1284,0,0,21
pure_time,60,300,20,12,60.0,0.1151,0.0757,2.3023,0.1081,0,0,20
risk_managed,1,5,199,100,50.25,0.0011,0.0044,0.227,-0.0013,0,0,199
risk_managed,2,10,199,96,48.24,-0.0014,-0.0018,-0.284,-0.0088,0,0,199
risk_managed,3,15,199,101,50.75,0.0066,0.0058,1.3215,0.0007,0,0,199
risk_managed,4,20,196,99,50.51,0.0039,0.0017,0.7635,0.0011,0,0,196
risk_managed,5,25,190,91,47.89,0.0108,-0.011,2.0554,0.0141,0,0,190
risk_managed,6,30,185,86,46.49,0.0029,-0.0192,0.5358,0.0043,0,0,185
risk_managed,7,35,177,83,46.89,-0.0008,-0.0332,-0.1402,-0.0002,0,0,177
risk_managed,8,40,175,85,48.57,-0.0065,-0.003,-1.1328,-0.0078,1,0,174
risk_managed,9,45,173,87,50.29,-0.0044,0.0058,-0.7562,-0.0003,1,0,172
risk_managed,10,50,168,83,49.4,-0.0017,-0.0034,-0.2859,0.0043,1,1,166
risk_managed,11,55,163,76,46.63,0.003,-0.0351,0.492,0.0134,1,2,160
risk_managed,12,60,159,83,52.2,0.0288,0.0122,4.572,0.0485,1,2,156
risk_managed,13,65,155,73,47.1,0.0192,-0.0146,2.9795,0.0384,1,2,152
risk_managed,14,70,154,67,43.51,0.0034,-0.0284,0.5234,0.0196,1,3,150
risk_managed,15,75,151,70,46.36,0.0041,-0.0473,0.6231,0.0212,1,5,145
risk_managed,16,80,149,74,49.66,0.0187,-0.0068,2.7887,0.0401,1,5,143
risk_managed,17,85,146,66,45.21,0.0152,-0.0183,2.2198,0.0356,1,7,138
risk_managed,18,90,143,69,48.25,0.0226,-0.0199,3.236,0.0401,1,6,136
risk_managed,19,95,139,67,48.2,0.022,-0.0059,3.0527,0.0403,1,6,132
risk_managed,20,100,133,62,46.62,0.0252,-0.0346,3.3569,0.0429,1,6,126
risk_managed,21,105,129,58,44.96,0.0231,-0.052,2.9745,0.0402,1,7,121
risk_managed,22,110,127,61,48.03,0.0252,-0.0199,3.2056,0.0395,1,7,119
risk_managed,23,115,119,51,42.86,0.0049,-0.042,0.5785,0.001,1,7,111
risk_managed,24,120,116,50,43.1,0.0164,-0.0584,1.8992,0.0128,1,7,108
risk_managed,25,125,115,53,46.09,0.0119,-0.0362,1.3718,0.0077,1,8,106
risk_managed,26,130,111,51,45.95,0.0137,-0.0458,1.5166,0.0168,1,8,102
risk_managed,27,135,107,53,49.53,0.0161,0.0,1.7264,0.03,1,8,98
risk_managed,28,140,103,48,46.6,0.0037,-0.0248,0.3807,0.0147,1,10,92
risk_managed,29,145,100,49,49.0,0.0237,-0.0266,2.3699,0.0462,1,9,90
risk_managed,30,150,97,44,45.36,0.0163,-0.048,1.5848,0.0399,1,9,87
risk_managed,31,155,92,45,48.91,0.0583,-0.0036,5.3632,0.0964,1,7,84
risk_managed,32,160,88,44,50.0,0.0682,-0.0143,6.0056,0.1039,1,7,80
risk_managed,33,165,88,43,48.86,0.0549,-0.0334,4.8269,0.0913,1,7,80
risk_managed,34,170,83,40,48.19,0.0883,-0.0183,7.3325,0.1272,1,6,76
risk_managed,35,175,82,41,50.0,0.0833,0.0,6.8334,0.121,1,6,75
risk_managed,36,180,82,42,51.22,0.1048,0.0319,8.5956,0.1476,1,6,75
risk_managed,37,185,81,44,54.32,0.1166,0.0759,9.447,0.162,2,6,73
risk_managed,38,190,80,45,56.25,0.1169,0.0928,9.3499,0.1607,2,6,72
risk_managed,39,195,78,44,56.41,0.109,0.1038,8.5046,0.1448,2,6,70
risk_managed,40,200,78,44,56.41,0.1195,0.0859,9.3174,0.1634,2,6,70
risk_managed,41,205,74,43,58.11,0.1123,0.0741,8.3131,0.1592,2,7,65
risk_managed,42,210,72,38,52.78,0.0764,0.0247,5.504,0.1119,2,7,63
risk_managed,43,215,69,37,53.62,0.1089,0.0706,7.5137,0.1534,2,7,60
risk_managed,44,220,64,37,57.81,0.1039,0.045,6.6494,0.1539,2,7,55
risk_managed,45,225,62,37,59.68,0.0896,0.0617,5.5578,0.1268,2,8,52
risk_managed,46,230,61,34,55.74,0.1052,0.0711,6.4183,0.1582,2,7,52
risk_managed,47,235,56,33,58.93,0.1233,0.1441,6.9034,0.1823,2,7,47
risk_managed,48,240,55,34,61.82,0.1141,0.1186,6.2752,0.1601,2,7,46
risk_managed,49,245,53,31,58.49,0.1135,0.0466,6.0163,0.1507,2,7,44
risk_managed,50,250,49,26,53.06,0.0955,0.0506,4.6801,0.1246,2,7,40
risk_managed,51,255,47,26,55.32,0.1264,0.0348,5.9413,0.157,2,6,39
risk_managed,52,260,45,26,57.78,0.133,0.0718,5.9863,0.1746,2,6,37
risk_managed,53,265,43,24,55.81,0.1049,0.0537,4.5119,0.1363,3,6,34
risk_managed,54,270,40,21,52.5,0.0958,0.0791,3.8318,0.1301,2,5,33
risk_managed,55,275,38,19,50.0,0.07,0.0155,2.6605,0.0633,2,5,31
risk_managed,56,280,33,17,51.52,0.0814,0.01,2.685,0.1019,1,4,28
risk_managed,57,285,29,15,51.72,0.1353,0.0475,3.9224,0.1971,1,2,26
risk_managed,58,290,25,15,60.0,0.2001,0.1527,5.003,0.2734,1,3,21
risk_managed,59,295,21,12,57.14,0.133,0.057,2.7928,0.1281,0,3,18
risk_managed,60,300,20,12,60.0,0.1087,0.0757,2.1735,0.1035,0,3,17
