pattern_id,symbol,entry_idx,entry_date,session,entry_price,stop_price,target_price,risk_per_share,k_bars,mode,exit_idx,exit_date,exit_price,exit_reason,r_multiple,return_pct,win
W001,AAPL,22,2026-05-01 11:20,2026-05-01,284.010009765625,280.05,291.930029296875,3.9600097656249886,1,pure_time,23,2026-05-01 11:25,283.95,time_k,-0.0152,-0.00021,False
W002,AAPL,125,2026-05-04 13:25,2026-05-04,277.2699890136719,274.07,283.66996704101564,3.199989013671882,1,pure_time,126,2026-05-04 13:30,277.03,time_k,-0.075,-0.00087,False
W003,AAPL,202,2026-05-05 13:20,2026-05-05,283.9599914550781,278.45,294.9799743652344,5.509991455078136,1,pure_time,203,2026-05-05 13:25,282.815,time_k,-0.2078,-0.00403,False
W004,AAPL,227,2026-05-05 15:25,2026-05-05,284.3599853515625,280.94,291.1999560546875,3.4199853515625023,1,pure_time,228,2026-05-05 15:30,284.145,time_k,-0.0629,-0.00076,False
W005,AAPL,270,2026-05-06 12:30,2026-05-06,286.2550048828125,282.46,293.84501464843754,3.7950048828125205,1,pure_time,271,2026-05-06 12:35,286.065,time_k,-0.0501,-0.00066,False
W006,AAPL,306,2026-05-06 15:30,2026-05-06,287.760009765625,285.14,293.000029296875,2.6200097656250136,1,pure_time,307,2026-05-06 15:35,287.4,time_k,-0.1374,-0.00125,False
W007,AAPL,490,2026-05-11 11:20,2026-05-11,293.32501220703125,290.29,299.3950366210937,3.0350122070312295,1,pure_time,491,2026-05-11 11:25,293.3699,time_k,0.0148,0.00015,True
W008,AAPL,540,2026-05-11 15:30,2026-05-11,292.1459045410156,289.41,297.6177136230468,2.7359045410156,1,pure_time,541,2026-05-11 15:35,292.33,time_k,0.0673,0.00063,True
W009,AAPL,577,2026-05-12 12:05,2026-05-12,294.6650085449219,291.78,300.4350256347657,2.8850085449219023,1,pure_time,578,2026-05-12 12:10,293.855,time_k,-0.2808,-0.00275,False
W010,AAPL,639,2026-05-13 10:45,2026-05-13,296.3550109863281,293.64,301.7850329589844,2.7150109863281386,1,pure_time,640,2026-05-13 10:50,296.19,time_k,-0.0608,-0.00056,False
W011,AAPL,676,2026-05-13 13:50,2026-05-13,300.8800048828125,297.3,308.0400146484375,3.5800048828124886,1,pure_time,677,2026-05-13 13:55,300.165,time_k,-0.1997,-0.00238,False
W012,AAPL,723,2026-05-14 11:15,2026-05-14,299.0299987792969,295.59,305.9099963378907,3.4399987792969,1,pure_time,724,2026-05-14 11:20,299.1202,time_k,0.0262,0.0003,True
W013,AAPL,767,2026-05-14 14:55,2026-05-14,298.70001220703125,295.87,304.36003662109374,2.8300122070312455,1,pure_time,768,2026-05-14 15:00,298.8499,time_k,0.053,0.0005,True
W014,AAPL,789,2026-05-15 10:15,2026-05-15,299.0751037597656,295.18,306.86531127929686,3.895103759765618,1,pure_time,790,2026-05-15 10:20,299.53,time_k,0.1168,0.00152,True
W015,AAPL,827,2026-05-15 13:25,2026-05-15,302.9100036621094,299.25,310.2300109863281,3.660003662109375,1,pure_time,828,2026-05-15 13:30,302.79,time_k,-0.0328,-0.0004,False
W016,AAPL,925,2026-05-18 15:05,2026-05-18,297.04998779296875,293.85,303.4499633789062,3.1999877929687273,1,pure_time,926,2026-05-18 15:10,296.52,time_k,-0.1656,-0.00178,False
W017,AAPL,976,2026-05-19 12:50,2026-05-19,298.3999938964844,294.88,305.43998168945313,3.5199938964843795,1,pure_time,977,2026-05-19 12:55,298.5999,time_k,0.0568,0.00067,True
W018,AAPL,1031,2026-05-20 10:55,2026-05-20,300.42999267578125,297.59,306.1099780273438,2.839992675781275,1,pure_time,1032,2026-05-20 11:00,299.325,time_k,-0.3891,-0.00368,False
W019,AAPL,1056,2026-05-20 13:00,2026-05-20,300.7117919921875,297.45,307.2353759765625,3.2617919921875114,1,pure_time,1057,2026-05-20 13:05,300.3,time_k,-0.1263,-0.00137,False
W020,AAPL,1061,2026-05-20 13:25,2026-05-20,301.07000732421875,298.07,307.07002197265626,3.000007324218757,1,pure_time,1062,2026-05-20 13:30,301.015,time_k,-0.0183,-0.00018,False
W021,AAPL,1113,2026-05-21 11:15,2026-05-21,302.8951110839844,300.07,308.54533325195314,2.825111083984382,1,pure_time,1114,2026-05-21 11:20,302.9999,time_k,0.0371,0.00035,True
W022,AAPL,1139,2026-05-21 13:25,2026-05-21,304.4599914550781,301.35,310.67997436523433,3.1099914550781023,1,pure_time,1140,2026-05-21 13:30,304.514,time_k,0.0174,0.00018,True
W023,AAPL,1185,2026-05-22 10:45,2026-05-22,309.7699890136719,305.53,318.2499670410157,4.239989013671902,1,pure_time,1186,2026-05-22 10:50,309.8699,time_k,0.0236,0.00032,True
W024,AAPL,1465,2026-05-28 14:35,2026-05-28,311.2699890136719,308.02,317.76996704101566,3.249989013671893,1,pure_time,1466,2026-05-28 14:40,310.98,time_k,-0.0892,-0.00093,False
W001,MSFT,21,2026-05-01 11:15,2026-05-01,414.6120910644531,408.48,426.87627319335934,6.132091064453107,1,pure_time,22,2026-05-01 11:20,413.94,time_k,-0.1096,-0.00162,False
W002,MSFT,53,2026-05-01 13:55,2026-05-01,414.8550109863281,410.7,423.1650329589844,4.155010986328136,1,pure_time,54,2026-05-01 14:00,415.29,time_k,0.1047,0.00105,True
W003,MSFT,74,2026-05-01 15:40,2026-05-01,416.8200073242188,411.84,426.78002197265647,4.980007324218832,1,pure_time,75,2026-05-01 15:45,416.1299,time_k,-0.1386,-0.00166,False
W004,MSFT,112,2026-05-04 12:20,2026-05-04,416.0,410.95,426.1,5.050000000000011,1,pure_time,113,2026-05-04 12:25,415.7121,time_k,-0.057,-0.00069,False
W005,MSFT,207,2026-05-05 13:45,2026-05-05,410.760009765625,406.96,418.36002929687504,3.8000097656250205,1,pure_time,208,2026-05-05 13:50,410.825,time_k,0.0171,0.00016,True
W006,MSFT,292,2026-05-06 14:20,2026-05-06,413.7799987792969,410.2,420.93999633789065,3.5799987792968864,1,pure_time,293,2026-05-06 14:25,413.855,time_k,0.021,0.00018,True
W007,MSFT,329,2026-05-07 10:55,2026-05-07,424.9400024414063,420.49,433.8400073242189,4.450002441406298,1,pure_time,330,2026-05-07 11:00,425.15,time_k,0.0472,0.00049,True
W008,MSFT,370,2026-05-07 14:20,2026-05-07,422.4549865722656,418.4,430.5649597167969,4.054986572265648,1,pure_time,371,2026-05-07 14:25,423.19,time_k,0.1813,0.00174,True
W009,MSFT,436,2026-05-08 13:20,2026-05-08,417.1499938964844,413.27,424.90998168945316,3.879993896484393,1,pure_time,437,2026-05-08 13:25,417.2,time_k,0.0129,0.00012,True
W010,MSFT,492,2026-05-11 11:30,2026-05-11,411.8299865722656,406.94,421.6099597167969,4.889986572265627,1,pure_time,493,2026-05-11 11:35,410.7033,time_k,-0.2304,-0.00274,False
W011,MSFT,540,2026-05-11 15:30,2026-05-11,411.5499877929688,406.54,421.5699633789064,5.009987792968786,1,pure_time,541,2026-05-11 15:35,411.98,time_k,0.0858,0.00104,True
W012,MSFT,579,2026-05-12 12:15,2026-05-12,409.30999755859375,404.62,418.68999267578124,4.6899975585937455,1,pure_time,580,2026-05-12 12:20,409.6498,time_k,0.0725,0.00083,True
W013,MSFT,650,2026-05-13 11:40,2026-05-13,404.55999755859375,400.04,413.5999926757812,4.5199975585937295,1,pure_time,651,2026-05-13 11:45,404.58,time_k,0.0044,5e-05,True
W014,MSFT,750,2026-05-14 13:30,2026-05-14,409.0499877929688,405.21,416.72996337890646,3.8399877929688273,1,pure_time,751,2026-05-14 13:35,409.34,time_k,0.0755,0.00071,True
W015,MSFT,829,2026-05-15 13:35,2026-05-15,427.5950012207031,420.64,441.5050036621094,6.955001220703139,1,pure_time,830,2026-05-15 13:40,427.3,time_k,-0.0424,-0.00069,False
