symbol,entry_time,entry_idx,entry_session,entry_price,stop_price,target_price,target_return_pct,trend_60m_pct,first_low_time,second_low_time,neckline_time,first_low,second_low,neckline,status,latest_time,latest_price,unrealized_return_pct,bars_open,distance_to_stop_pct,distance_to_target_pct,exit_time,exit_price,exit_reason,bars_held,return_pct,quality_win
ACHR,2026-06-08 12:10,32,2026-06-08,5.7399,5.57,6.2496,8.88,1.4134,2026-06-08 10:05,2026-06-08 11:55,2026-06-08 11:45,5.6,5.7,5.76,ACTIVE,2026-06-08 13:45,5.795,0.9599,19.0,4.0395,7.8447,,,,,,
IREN,2026-06-08 11:45,27,2026-06-08,58.74,57.28,63.12,7.4566,2.1036,2026-06-08 11:00,2026-06-08 11:30,2026-06-08 11:20,57.57,57.97,58.99,ACTIVE,2026-06-08 13:45,58.475,-0.4511,24.0,2.0862,7.9436,,,,,,
MU,2026-06-08 11:45,27,2026-06-08,959.67,931.68,1043.6399,8.7499,2.193,2026-06-08 10:40,2026-06-08 11:30,2026-06-08 11:15,936.36,946.61,962.95,ACTIVE,2026-06-08 13:45,948.39,-1.1754,24.0,1.7935,10.0433,,,,,,
RKLB,2026-06-08 11:45,27,2026-06-08,115.24,111.39,126.79,10.0226,1.0083,2026-06-08 10:10,2026-06-08 11:30,2026-06-08 11:20,111.95,114.18,116.25,ACTIVE,2026-06-08 13:45,113.63,-1.3971,24.0,2.011,11.5815,,,,,,
BEAM,2026-06-08 11:30,24,2026-06-08,29.9,29.09,32.33,8.1271,1.7681,2026-06-08 10:25,2026-06-08 11:15,2026-06-08 11:05,29.24,29.81,30.12,ACTIVE,2026-06-08 13:43,29.62,-0.9365,27.0,1.8219,9.1492,,,,,,
BLNK,2026-06-08 11:30,24,2026-06-08,0.7153,0.7,0.7612,6.4169,2.0254,2026-06-08 10:05,2026-06-08 11:15,2026-06-08 11:00,0.7,0.71,0.72,ACTIVE,2026-06-08 13:45,0.7094,-0.8248,27.0,1.3429,7.3019,,,,,,
UPST,2026-06-08 11:05,19,2026-06-08,30.9,29.98,33.66,8.932,1.9789,2026-06-08 10:20,2026-06-08 10:50,2026-06-08 10:45,30.13,30.64,30.95,ACTIVE,2026-06-08 13:45,30.9446,0.1443,32.0,3.2175,8.775,,,,,,
BLDP,2026-06-08 10:55,17,2026-06-08,5.17,5.01,5.65,9.2843,2.4752,2026-06-08 10:15,2026-06-08 10:40,2026-06-08 10:35,5.03,5.11,5.17,ACTIVE,2026-06-08 13:44,5.105,-1.2573,34.0,1.8962,10.6758,,,,,,
CELH,2026-06-08 10:55,17,2026-06-08,28.14,27.45,30.21,7.3561,1.4362,2026-06-08 09:55,2026-06-08 10:40,2026-06-08 10:30,27.59,27.93,28.26,ACTIVE,2026-06-08 13:45,27.915,-0.7996,34.0,1.694,8.2214,,,,,,
CIFR,2026-06-08 12:55,41,2026-06-08,24.06,23.73,25.05,4.1147,1.734,2026-06-08 11:05,2026-06-08 12:40,2026-06-08 11:20,23.85,23.92,24.25,CLOSED_TODAY,,,,,,,2026-06-08 13:10,23.73,stop,3.0,-1.3716,False
ARM,2026-06-08 11:45,27,2026-06-08,360.66,349.25,394.89,9.4909,2.4077,2026-06-08 10:40,2026-06-08 11:30,2026-06-08 11:20,351.0,357.67,364.35,CLOSED_TODAY,,,,,,,2026-06-08 13:00,349.25,stop,15.0,-3.1636,False
MRVL,2026-06-08 11:45,27,2026-06-08,304.33,295.54,330.6999,8.6649,1.9505,2026-06-08 11:05,2026-06-08 11:30,2026-06-08 11:20,297.03,297.73,303.55,CLOSED_TODAY,,,,,,,2026-06-08 13:00,295.54,stop,15.0,-2.8883,False
ELF,2026-06-08 11:25,23,2026-06-08,53.565,52.53,56.67,5.7967,1.171,2026-06-08 10:05,2026-06-08 11:10,2026-06-08 11:00,52.79,53.28,54.1,CLOSED_TODAY,,,,,,,2026-06-08 13:35,52.53,stop,26.0,-1.9322,False
QS,2026-06-08 11:20,22,2026-06-08,7.915,7.77,8.35,5.4959,1.2156,2026-06-08 10:15,2026-06-08 11:05,2026-06-08 10:50,7.8,7.89,7.97,CLOSED_TODAY,,,,,,,2026-06-08 13:00,7.77,stop,20.0,-1.832,False
ARQQ,2026-06-08 11:15,21,2026-06-08,12.95,12.81,13.37,3.2432,1.9685,2026-06-08 10:40,2026-06-08 11:00,2026-06-08 10:55,12.87,12.89,13.08,CLOSED_TODAY,,,,,,,2026-06-08 11:30,12.81,stop,3.0,-1.0811,False
CHPT,2026-06-08 10:55,17,2026-06-08,7.5101,7.31,8.1104,7.9932,1.4555,2026-06-08 10:15,2026-06-08 10:40,2026-06-08 10:35,7.35,7.47,7.55,CLOSED_TODAY,,,,,,,2026-06-08 12:05,7.31,stop,14.0,-2.6644,False
